Instantaneous_power_reading(W),Minimum_during_sampling_period(W),Maximum_during_sampling_period(W),Average_power_reading_over_sample_period(W),Day_of_Week,Month,Day,Time,Year,Sampling_period,Power_reading_state_is,Time_elapsed
267,238,267,247,Sun,Nov,15,23:41:39,2020,00000004,activated,00000208
267,238,267,247,Sun,Nov,15,23:41:39,2020,00000004,activated,00000212
267,238,267,247,Sun,Nov,15,23:41:39,2020,00000004,activated,00000216
267,238,267,247,Sun,Nov,15,23:41:39,2020,00000004,activated,00000220
267,238,267,247,Sun,Nov,15,23:41:39,2020,00000004,activated,00000224
267,238,267,247,Sun,Nov,15,23:41:39,2020,00000004,activated,00000228
267,238,267,247,Sun,Nov,15,23:41:40,2020,00000004,activated,00000232
267,238,267,247,Sun,Nov,15,23:41:40,2020,00000004,activated,00000236
267,238,267,247,Sun,Nov,15,23:41:40,2020,00000004,activated,00000240
267,238,267,247,Sun,Nov,15,23:41:40,2020,00000004,activated,00000244
267,238,267,247,Sun,Nov,15,23:41:40,2020,00000004,activated,00000248
267,238,267,247,Sun,Nov,15,23:41:40,2020,00000004,activated,00000252
267,238,267,247,Sun,Nov,15,23:41:40,2020,00000004,activated,00000256
267,238,267,247,Sun,Nov,15,23:41:40,2020,00000004,activated,00000260
267,238,267,247,Sun,Nov,15,23:41:40,2020,00000004,activated,00000264
267,238,267,247,Sun,Nov,15,23:41:40,2020,00000004,activated,00000268
267,238,267,247,Sun,Nov,15,23:41:40,2020,00000004,activated,00000272
267,238,267,247,Sun,Nov,15,23:41:40,2020,00000004,activated,00000276
267,238,267,247,Sun,Nov,15,23:41:40,2020,00000004,activated,00000280
267,238,267,247,Sun,Nov,15,23:41:40,2020,00000004,activated,00000284
267,238,267,247,Sun,Nov,15,23:41:40,2020,00000004,activated,00000288
267,238,267,247,Sun,Nov,15,23:41:40,2020,00000004,activated,00000292
267,238,267,247,Sun,Nov,15,23:41:40,2020,00000004,activated,00000296
267,238,267,247,Sun,Nov,15,23:41:40,2020,00000004,activated,00000300
267,238,267,247,Sun,Nov,15,23:41:40,2020,00000004,activated,00000304
267,238,267,247,Sun,Nov,15,23:41:40,2020,00000004,activated,00000308
267,238,267,247,Sun,Nov,15,23:41:40,2020,00000004,activated,00000312
267,238,267,247,Sun,Nov,15,23:41:40,2020,00000004,activated,00000316
267,238,267,247,Sun,Nov,15,23:41:40,2020,00000004,activated,00000320
267,238,267,247,Sun,Nov,15,23:41:40,2020,00000004,activated,00000324
267,238,267,247,Sun,Nov,15,23:41:40,2020,00000004,activated,00000328
267,238,267,247,Sun,Nov,15,23:41:40,2020,00000004,activated,00000332
267,238,267,247,Sun,Nov,15,23:41:40,2020,00000004,activated,00000336
267,238,267,247,Sun,Nov,15,23:41:41,2020,00000004,activated,00000340
267,238,267,247,Sun,Nov,15,23:41:41,2020,00000004,activated,00000344
267,238,267,247,Sun,Nov,15,23:41:41,2020,00000004,activated,00000348
267,238,267,247,Sun,Nov,15,23:41:41,2020,00000004,activated,00000352
267,238,267,247,Sun,Nov,15,23:41:41,2020,00000004,activated,00000356
267,238,267,247,Sun,Nov,15,23:41:41,2020,00000004,activated,00000360
267,238,267,247,Sun,Nov,15,23:41:41,2020,00000004,activated,00000364
267,238,267,247,Sun,Nov,15,23:41:41,2020,00000004,activated,00000368
267,238,267,247,Sun,Nov,15,23:41:41,2020,00000004,activated,00000372
